index,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,cluster,distance
23756,0.951,['Deep Sleep Music Collective'],0.204,120451,0.00107,0,1mmw6dQxV5Yw7VsYdZTU1m,0.883,1,0.12,-37.221,1,Sand Castles,61,11/7/2016,0.0502,68.72399999999999,0.0351,2016,0,24.54029332283795
62967,0.573,['Relaxed Minds'],0.209,249739,0.867,0,22TrxuTE2bllUWnZVJ3Qcp,0.0634,4,0.9540000000000001,-33.358000000000004,0,Wave Foam,61,1/9/2017,0.0358,80.93,1e-05,2017,0,24.632189398673543
169409,0.94,['Deep Sleep Music Collective'],0.135,117368,0.00214,0,7MO1iUivRn2ZT7gzrJpMjl,0.897,0,0.0968,-37.424,1,Calm Ocean Waves,63,11/7/2016,0.0479,68.657,0.0359,2016,0,24.74121425588536
23771,0.925,['Deep Sleep Music Collective'],0.145,117656,0.00263,0,0vWHg7etZMX36mh59Fq71m,0.938,0,0.0897,-37.193000000000005,1,Reflections,61,11/7/2016,0.0531,71.558,0.0384,2016,0,24.81709758499018
15795,0.9470000000000001,['Deep Sleep Music Collective'],0.18899999999999997,119406,0.001,0,46h9F8VMYavgKbjzdtwjwI,0.851,2,0.13699999999999998,-37.259,1,Dark Skies,62,11/7/2016,0.0475,71.35300000000001,0.0712,2016,0,24.84585791406739
125827,0.0984,['Fabricantes De Lluvia'],0.0574,169331,0.496,0,3byF8Z5oOsuVbrPlyfFyIK,0.0,1,0.8109999999999999,-32.727,1,Cozy Rain Sound,69,1/9/2017,0.157,52.763999999999996,0.0273,2017,0,24.873785438007324
15827,0.932,['Deep Sleep Music Collective'],0.0758,120555,0.00179,0,3Ilbj3JF3dED8cjRaPmqhk,0.7909999999999999,0,0.09,-37.553000000000004,1,Pink Sky,62,11/7/2016,0.0539,70.093,0.0437,2016,0,24.974699506503082
23737,0.975,['Deep Sleep Music Collective'],0.198,122723,0.000413,0,68JOSWjtRYqsCJbnVSCDkQ,0.8640000000000001,6,0.11,-37.624,1,Sleep Meditation,62,11/7/2016,0.0432,69.492,0.0674,2016,0,24.99095973016231
7722,0.961,['Deep Sleep Music Collective'],0.0624,122175,0.000868,0,2XrM7sxDMFn2LaKB7ITlJs,0.9179999999999999,2,0.187,-37.475,1,Sleep Music (Distant Lands),62,11/7/2016,0.0514,70.914,0.134,2016,0,25.000367275451154
23763,0.973,['Deep Sleep Music Collective'],0.154,123272,0.000891,0,0OVwmxLIkUQjAT6zVusw5Q,0.912,1,0.11599999999999999,-37.952,1,Sleep Songs,61,11/7/2016,0.0537,66.507,0.035,2016,0,25.262763751733615
161072,0.956,['Deep Sleep Music Collective'],0.132,121104,0.00157,0,2nvvKQCQdiTlgTwRQCqnkx,0.9640000000000001,4,0.0983,-37.75,1,Sleeping Music (Calm Sleep),64,11/7/2016,0.053,71.505,0.0376,2016,0,25.359265552868937
23740,0.958,['Deep Sleep Music Collective'],0.135,118178,0.00256,0,1e8YXZzw4cnWV9QaSY3BtQ,0.92,1,0.11199999999999999,-37.495,1,Quiet Music for Sleep,61,11/7/2016,0.0457,73.062,0.0443,2016,0,25.400139137013106
23745,0.9570000000000001,['Deep Sleep Music Collective'],0.157,119406,0.000553,0,7HBvKyhAJ4QX2vaq4Nl45N,0.919,0,0.106,-38.094,1,New Age Piano for Sleep,61,11/7/2016,0.0482,69.712,0.0386,2016,0,25.479742745165897
23777,0.9129999999999999,['Deep Sleep Music Collective'],0.13699999999999998,117969,0.000998,0,4PrxdUUAW8yGTJxurIbYun,0.9279999999999999,5,0.109,-38.069,1,Starlight,61,11/7/2016,0.05,63.951,0.0365,2016,0,25.609080276340055
8037,0.961,['The Tides'],0.155,224000,0.00512,0,65AHFH7pRxxMrFDsFVH5Hv,0.894,8,0.1,-36.056,0,Your Peace,67,11/18/2019,0.0419,78.206,0.183,2019,0,25.679583804462737
7728,0.9109999999999999,['Deep Sleep Music Collective'],0.128,120790,0.0015400000000000001,0,4AkP8JV90cs05Q8vlVunMe,0.9440000000000001,4,0.0893,-36.356,1,Above the Clouds,63,11/7/2016,0.0519,78.291,0.0377,2016,0,25.989774316211847
23774,0.958,['Deep Sleep Music Collective'],0.0768,123716,0.0027300000000000002,0,0ErhZpQwk4JaXevDCSwoBW,0.7859999999999999,11,0.0913,-37.35,1,Teal Sky,61,11/7/2016,0.0517,76.542,0.0384,2016,0,26.240519745594312
15971,0.902,['Masala Roo'],0.27399999999999997,168537,0.0417,0,5I3JZ3zvxKQMdp9rEcGkiR,0.903,0,0.11199999999999999,-23.499000000000002,0,Pads of Redemption,67,11/14/2018,0.034,43.513000000000005,0.0613,2018,0,26.323449277327335
15769,0.915,['Deep Sleep Music Collective'],0.18100000000000002,121339,0.0009,0,4VP1vL2y2iW0zoiMrFZBin,0.9229999999999999,0,0.106,-37.955999999999996,1,Sleeping Music (Sounds for Sleep),62,11/7/2016,0.0487,58.273999999999994,0.035,2016,0,26.88377938564489
169429,0.961,['Deep Sleep Music Collective'],0.128,122410,0.000793,0,2IOK9ETnjo05WJYbuEg8uI,0.9329999999999999,1,0.10800000000000001,-37.801,1,Moonbeam,64,11/7/2016,0.0505,77.39399999999999,0.035,2016,0,26.96836487725709
15830,0.9440000000000001,['Deep Sleep Music Collective'],0.156,122958,0.00418,0,6P18h1X557wTCkuiAxnzzf,0.9670000000000001,2,0.0953,-36.375,1,Purple Star,62,11/7/2016,0.0467,81.368,0.0419,2016,0,27.426032668587425
152448,0.992,['Binaural Beats Sleep'],0.486,121626,0.000953,0,0tPuFBwxHeJ4XizUCfmlNw,0.6659999999999999,3,0.111,-40.637,1,Binaural Beats (Deep Sleep),61,11/29/2016,0.047,64.26,0.32899999999999996,2016,0,28.104816667472395
15816,0.87,['Deep Sleep Music Collective'],0.158,121313,0.0009960000000000001,0,2fPwXViRQPqalsO0bFyvwv,0.866,2,0.13699999999999998,-38.374,1,Awakenings,62,11/7/2016,0.0509,79.113,0.073,2016,0,28.162107505725505
15802,0.885,['Deep Sleep Music Collective'],0.115,124056,0.00112,0,3lMob8LMW1tyFC9yt2UBAC,0.9109999999999999,5,0.106,-37.826,1,REM Sleep,62,11/7/2016,0.0488,80.667,0.0489,2016,0,28.35296163966694
16018,0.0378,['Aminé'],0.5379999999999999,146573,0.605,1,2q4F6OpQgx9umNB9uGFPYo,0.0,3,0.159,-5.412999999999999,1,RATCHET SATURN GIRL,63,8/15/2018,0.11900000000000001,39.497,0.657,2018,0,28.972540590117834
169459,0.966,['Deep Sleep Music Collective'],0.10800000000000001,122227,0.000711,0,7qJikccNesdXmTeaXoJfhb,0.882,0,0.10800000000000001,-38.643,1,Sleep Music (Gentleness),63,11/7/2016,0.0485,81.684,0.0381,2016,0,29.552116286275435
